"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-22 23:58:00,52.5,9.25,3.57,3,727,100.0,4.99,4,0.522,481,66.5,4.10,6,0.583,640,92.5,4.24,3,0.532,498,66.4,3.95,5,0.525,158,22.8,0.498,1,0.325,158,158,2907,2887,2559,2492
2023-07-23 00:00:00,41.2,8.91,3.93,3,734,97.8,4.70,3,0.486,484,66.6,4.14,6,0.504,638,77.3,4.36,4,0.508,507,66.1,3.96,5,0.550,158,23.1,1.05,1,0.431,165,158,2938,2901,2550,2534
2023-07-23 00:02:00,37.9,8.63,4.44,4,960,99.9,7.77,4,0.408,481,65.9,4.26,6,0.597,859,101,4.51,3,0.454,501,66.9,4.01,5,0.467,160,23.0,0.497,1,0.421,152,160,2880,2888,2578,2507
2023-07-23 00:04:00,31.7,8.39,4.42,4,732,96.8,4.84,3,0.492,487,66.2,4.19,6,0.540,646,88.4,4.34,3,0.590,505,66.5,3.94,5,0.539,155,22.6,1.01,1,0.790,159,155,2929,2921,2584,2524
2023-07-23 00:06:00,30.6,8.43,4.41,4,736,99.4,4.99,4,0.603,486,66.2,4.20,6,0.524,861,99.5,4.59,3,0.476,504,66.1,3.96,5,0.456,150,22.2,0.497,1,0.560,153,150,2944,2915,2582,2521
2023-07-23 00:08:00,37.9,8.42,4.27,3,739,99.2,4.87,3,0.608,492,67.7,4.24,6,0.560,862,98.8,4.58,3,0.564,505,66.6,4.00,5,0.329,150,22.3,0.495,1,0.435,152,150,2956,2950,2585,2526
2023-07-23 00:10:00,51.6,11.7,3.54,3,744,77.8,6.37,4,0.462,493,67.3,4.17,6,0.579,654,96.5,4.47,3,0.452,507,67.1,3.96,5,0.400,154,22.8,0.496,1,0.414,155,154,2977,2957,2616,2535
2023-07-23 00:12:00,38.9,8.34,3.88,4,768,99.0,4.92,3,0.520,493,67.2,4.19,6,0.513,873,107,13.6,2,0.752,507,66.1,4.00,5,0.544,166,22.4,0.496,1,0.375,156,166,3072,2955,2619,2533
2023-07-23 00:14:00,49.7,10.1,3.91,4,729,78.7,4.90,4,0.492,495,67.3,4.21,6,0.543,662,97.8,4.57,3,0.502,510,66.9,3.94,5,0.484,153,20.7,0.498,1,0.276,149,153,2915,2969,2646,2548
2023-07-23 00:16:00,54.0,9.62,3.84,3,771,101,4.95,4,0.560,496,68.4,4.30,6,0.485,838,110,27.3,3,0.785,514,67.2,3.99,5,0.460,160,22.7,0.495,1,0.504,162,160,3084,2976,2515,2570
2023-07-23 00:18:00,49.8,9.48,3.80,3,742,98.3,4.85,3,0.842,507,67.7,4.24,6,0.679,868,96.5,4.48,3,0.511,513,67.5,3.95,5,0.472,153,21.2,0.500,1,0.472,149,153,2966,3040,2604,2563
2023-07-23 00:20:00,50.2,9.78,3.98,3,771,101,6.27,4,0.653,506,68.7,4.26,6,0.390,652,96.8,4.29,3,0.418,518,66.5,4.00,5,0.569,158,23.1,0.498,1,0.751,151,158,3085,3034,2608,2588
2023-07-23 00:22:00,50.8,9.31,3.96,3,763,97.5,4.88,3,0.459,509,68.2,4.19,6,0.559,877,103,4.58,4,0.710,527,69.1,3.95,5,0.501,157,21.9,0.493,1,0.722,152,157,3053,3057,2631,2635
2023-07-23 00:24:00,40.1,8.44,3.77,3,768,103,7.23,4,0.614,511,69.7,4.15,6,0.593,878,98.4,4.54,3,0.335,522,68.7,3.99,5,0.426,153,22.2,0.493,1,0.731,160,153,3072,3069,2635,2611
