"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-24 11:00:00,582,81.1,4.59,4,603,82.5,4.55,3,0.669,367,59.3,4.42,5,0.525,660,83.2,4.48,3,0.598,387,58.8,4.20,5,0.694,580,74.8,3.88,4,0.480,2327,2321,1808,1837,1981,1937
2023-07-24 11:01:00,575,83.9,4.67,4,581,83.4,4.57,3,0.673,362,59.7,4.49,5,0.477,650,86.3,4.53,3,0.512,382,60.2,4.28,5,0.709,581,75.2,3.96,4,0.367,2300,2324,1744,1808,1950,1909
2023-07-24 11:02:00,579,84.2,4.63,4,598,83.2,4.47,3,0.780,362,59.7,4.41,5,0.559,640,83.2,4.52,3,0.568,383,59.9,4.25,5,0.678,587,74.1,3.89,4,0.572,2317,2349,1793,1810,1919,1915
2023-07-24 11:03:00,576,82.2,4.64,4,584,83.1,4.53,3,0.657,361,60.3,4.47,5,0.575,651,85.0,4.57,3,0.544,388,59.8,4.21,5,0.637,590,74.9,3.86,4,0.587,2306,2362,1752,1803,1953,1941
2023-07-24 11:04:00,591,82.5,4.64,4,582,82.2,4.48,3,0.614,359,59.3,4.45,5,0.513,643,85.8,4.41,3,0.590,380,58.9,4.28,5,0.608,472,63.0,3.92,5,0.455,2364,2361,1747,1794,1929,1902
2023-07-24 11:05:00,592,84.2,4.62,4,567,81.7,4.59,3,0.565,358,58.8,4.41,5,0.580,639,84.2,4.50,3,0.573,383,59.1,4.24,5,0.639,474,65.2,4.12,5,0.425,2366,2370,1701,1791,1916,1917
2023-07-24 11:06:00,581,83.7,4.61,4,576,80.5,4.58,3,0.687,348,58.5,4.49,5,0.604,639,85.8,4.59,3,0.570,382,59.4,4.17,5,0.821,469,67.8,4.14,5,0.393,2326,2347,1727,1739,1916,1909
2023-07-24 11:07:00,587,81.8,4.60,4,574,80.2,4.50,3,0.676,351,57.8,4.41,5,0.632,635,85.2,4.56,3,0.678,384,58.4,4.10,5,0.753,476,66.8,4.11,5,0.562,2350,2378,1721,1754,1906,1918
2023-07-24 11:08:00,587,83.5,4.60,4,562,80.8,4.56,3,0.651,354,59.1,4.49,5,0.554,639,83.9,4.52,3,0.548,386,59.2,4.12,5,0.684,479,68.2,4.10,5,0.492,2348,2396,1687,1768,1916,1930
2023-07-24 11:09:00,584,82.6,4.64,4,567,79.0,4.62,3,0.746,346,57.2,4.40,5,0.559,639,84.4,4.54,3,0.683,384,59.9,4.16,5,0.750,475,67.1,4.08,5,0.516,2338,2376,1701,1732,1918,1920
2023-07-24 11:10:00,600,84.2,4.59,4,556,80.6,4.49,3,0.782,347,56.2,4.43,5,0.527,636,84.9,4.55,3,0.751,379,58.8,4.15,5,0.692,480,68.6,4.14,5,0.588,2399,2400,1667,1734,1907,1893
2023-07-24 11:11:00,590,83.4,4.60,4,563,78.9,4.50,3,0.670,339,57.7,4.50,5,0.521,636,83.7,4.51,3,0.434,376,59.1,4.25,5,0.807,477,68.4,4.15,5,0.584,2358,2386,1689,1695,1908,1879
2023-07-24 11:12:00,591,83.2,4.57,4,550,77.4,4.43,3,0.646,341,56.5,4.45,5,0.564,624,84.4,4.46,3,0.579,382,59.2,4.22,5,0.663,478,66.8,4.11,5,0.454,2365,2392,1651,1703,1873,1908
2023-07-24 11:13:00,593,82.6,4.59,4,550,77.8,4.44,3,0.807,350,57.4,4.43,5,0.531,629,82.2,4.50,3,0.611,381,59.9,4.21,5,0.711,478,67.7,4.08,5,0.516,2371,2389,1651,1749,1886,1907
2023-07-24 11:14:00,591,81.8,4.60,4,553,77.1,4.49,3,0.793,338,57.3,4.44,5,0.442,632,82.1,4.39,3,0.580,385,60.1,4.21,5,0.626,479,68.1,4.07,5,0.442,2366,2393,1659,1690,1897,1926
